Neighbourhood,Neighbourhood Id,Combined Indicators,Total Area,Total Population,Pop - Males,Pop - Females,Visible Minority Category,Labour Force Category,   In Labour Force,   Unemployed,   Not in Labour Force,Less than grade 9,With College Certificate/Diploma,With Bachelor Degree or Higher,High Shelter Costs,Owned Dwellings,Rented Dwellings,   Not a Visible Minority,Recent Immigrants,Tenant Average Rent,Average Family Income,After-Tax Household Income,Part-Time Employment,Low Income Families,Social Assistance Recipients,Low Income Population,Early Development Instrument (EDI),Healthy Food Index,Social Housing Units,Drug Arrests,Assaults,Sexual Assaults,Break & Enters,Robberies,Vehicle Thefts,Thefts,Murders,Arsons,Fires & Fire Alarms,Fire Vehicle Incidents,Hazardous Incidents,Rent Bank Applicants,Home Repairs Needed
West Humber-Clairville,1,N/A,30.09,"33,312.00","16,625.00","16,690.00","32,890.00","27,850.00","17,845.00","1,705.00","9,995.00","6,170.00","13,425.00","6,170.00","3,270.00","7,075.00","3,050.00","5,940.00","2,440.00",$945.00,"$72,820.00","$59,703.00","13,305.00","3,790.00","2,391.00","7,590.00",15.33923304,23.82,950.00,29.00,259.00,31.00,131.00,82.00,316.00,38.00,3.00,2.00,729.00,550.00,213.00,21.00,500.0
Mount Olive-Silverstone-Jamestown,2,N/A,4.60,"32,954.00","16,070.00","16,890.00","32,830.00","25,735.00","14,765.00","1,785.00","10,975.00","6,855.00","10,065.00","4,450.00","3,715.00","4,540.00","5,070.00","4,375.00","4,720.00",$921.00,"$57,411.00","$46,986.00",945.00,"5,010.00","5,525.00","11,540.00",19.53488372,37.57,"1,288.00",24.00,213.00,16.00,34.00,81.00,42.00,3.00,1.00,1.00,357.00,83.00,173.00,44.00,995.0
Thistletown-Beaumond Heights,3,N/A,3.40,"10,360.00","5,055.00","5,300.00","10,125.00","8,395.00","5,060.00",525.00,"3,335.00","1,970.00","3,980.00","1,690.00","1,065.00","2,080.00","1,145.00","3,615.00",720.00,$887.00,"$70,838.00","$57,522.00",527.00,"1,080.00","1,025.00","2,350.00",16.03773585,42.26,372.00,7.00,35.00,3.00,23.00,12.00,13.00,1.00,0.00,0.00,83.00,24.00,52.00,7.00,205.0
Rexdale-Kipling,4,N/A,2.50,"10,529.00","5,130.00","5,395.00","10,360.00","8,725.00","5,480.00",600.00,"3,240.00","2,095.00","4,085.00","1,620.00","1,185.00","2,010.00","1,935.00","4,990.00",625.00,$857.00,"$69,367.00","$51,194.00",515.00,"1,110.00","1,085.00","2,170.00",7.894736842,23.31,308.00,11.00,57.00,5.00,16.00,15.00,22.00,0.00,0.00,1.00,84.00,16.00,46.00,18.00,265.0
Elms-Old Rexdale,5,N/A,2.90,"9,456.00","4,520.00","4,935.00","9,445.00","7,640.00","4,635.00",465.00,"3,005.00","2,025.00","3,155.00","1,130.00","1,080.00","1,910.00","1,315.00","3,085.00",530.00,$966.00,"$61,196.00","$49,425.00",392.00,"1,190.00","1,367.00","2,790.00",9.782608696,24.71,358.00,9.00,53.00,2.00,9.00,14.00,16.00,0.00,0.00,0.00,89.00,38.00,64.00,12.00,350.0
Kingsview Village-The Westway,6,N/A,5.10,"22,000.00","10,575.00","11,420.00","21,980.00","17,745.00","10,265.00","1,020.00","7,475.00","4,395.00","8,075.00","3,720.00","2,730.00","3,975.00","3,675.00","8,835.00","1,830.00","$1,052.00","$68,145.00","$50,714.00",748.00,"2,800.00","3,742.00","6,760.00",15.63786008,35.69,553.00,12.00,110.00,6.00,34.00,22.00,42.00,5.00,2.00,2.00,257.00,130.00,118.00,19.00,665.0
Willowridge-Martingrove-Richview,7,N/A,5.50,"22,156.00","10,635.00","11,515.00","22,150.00","18,580.00","10,870.00",920.00,"7,715.00","3,760.00","9,935.00","5,265.00","2,645.00","4,605.00","3,540.00","13,270.00","1,210.00","$1,124.00","$79,241.00","$57,048.00",609.00,"1,610.00","1,757.00","3,490.00",14.68926554,30.46,762.00,6.00,88.00,6.00,32.00,38.00,48.00,4.00,0.00,0.00,272.00,75.00,123.00,18.00,565.0
Humber Heights-Westmount,8,N/A,2.80,"10,948.00","4,895.00","6,060.00","10,115.00","8,655.00","5,115.00",380.00,"3,540.00","1,620.00","4,805.00","2,340.00","1,325.00","2,585.00","1,350.00","7,365.00",345.00,"$1,041.00","$81,267.00","$54,919.00",315.00,820.00,587.00,"1,780.00",9.722222222,32.82,688.00,3.00,25.00,0.00,24.00,8.00,17.00,4.00,1.00,2.00,114.00,17.00,46.00,4.00,250.0
Edenbridge-Humber Valley,9,N/A,5.50,"15,535.00","7,305.00","8,235.00","15,190.00","13,075.00","8,420.00",510.00,"4,650.00","1,725.00","8,175.00","5,190.00","1,900.00","3,230.00","2,790.00","11,980.00",515.00,"$1,127.00","$119,581.00","$62,463.00",541.00,900.00,533.00,"1,660.00",7.01754386,46.41,0.00,3.00,26.00,6.00,46.00,3.00,29.00,1.00,0.00,0.00,96.00,29.00,56.00,7.00,390.0
Princess-Rosethorn,10,N/A,5.20,"11,051.00","5,430.00","5,620.00","11,045.00","9,280.00","5,875.00",355.00,"3,395.00","1,085.00","6,315.00","4,480.00",750.00,"3,290.00",595.00,"8,945.00",270.00,"$1,194.00","$144,943.00","$93,391.00",425.00,460.00,158.00,950.00,4.651162791,39.52,0.00,4.00,25.00,6.00,33.00,20.00,24.00,3.00,1.00,0.00,88.00,39.00,60.00,1.00,220.0
Eringate-Centennial-West Deane,11,N/A,8.60,"18,588.00","8,915.00","9,670.00","18,525.00","15,895.00","10,105.00",750.00,"5,795.00","2,645.00","9,240.00","4,915.00","1,555.00","5,840.00","1,060.00","13,395.00",350.00,"$1,108.00","$88,741.00","$69,740.00",713.00,"1,060.00",669.00,"2,130.00",10.95890411,10.43,0.00,7.00,52.00,5.00,28.00,15.00,29.00,5.00,0.00,1.00,121.00,168.00,65.00,6.00,440.0
Markland Wood,12,N/A,2.90,"10,554.00","4,920.00","5,635.00","10,455.00","9,110.00","5,445.00",335.00,"3,665.00","1,015.00","5,790.00","3,525.00","1,060.00","3,280.00","1,090.00","9,060.00",295.00,"$1,112.00","$100,337.00","$64,297.00",594.00,510.00,184.00,990.00,8.108108108,7.99,0.00,2.00,23.00,1.00,18.00,8.00,13.00,2.00,0.00,0.00,95.00,25.00,32.00,4.00,215.0
Etobicoke West Mall,13,N/A,1.70,"11,848.00","5,630.00","6,220.00","11,465.00","9,770.00","6,420.00",505.00,"3,355.00","1,685.00","5,325.00","2,705.00","1,695.00","2,250.00","1,790.00","6,950.00",815.00,"$1,078.00","$67,704.00","$50,570.00",661.00,980.00,977.00,"2,020.00",19.04761905,15.41,200.00,0.00,40.00,3.00,13.00,3.00,15.00,0.00,1.00,1.00,101.00,47.00,36.00,11.00,310.0
Islington-City Centre West,14,N/A,16.40,"43,965.00","20,950.00","23,020.00","43,225.00","37,415.00","25,665.00","1,870.00","11,725.00","4,080.00","24,535.00","15,135.00","6,380.00","9,955.00","6,290.00","27,195.00","2,850.00","$1,072.00","$87,747.00","$57,658.00","13,461.00","6,140.00","2,058.00","11,590.00",14.24242424,31.01,"1,240.00",30.00,186.00,27.00,104.00,33.00,134.00,37.00,0.00,4.00,661.00,393.00,235.00,12.00,1375.0
Kingsway South,15,N/A,2.60,"9,271.00","4,340.00","4,930.00","9,165.00","7,580.00","4,790.00",360.00,"2,805.00",665.00,"5,735.00","4,440.00",685.00,"2,965.00",535.00,"8,060.00",95.00,"$1,640.00","$191,204.00","$106,386.00","1,008.00",260.00,39.00,470.00,4.819277108,43.15,0.00,10.00,24.00,2.00,27.00,8.00,9.00,1.00,0.00,1.00,118.00,26.00,47.00,0.00,160.0
Stonegate-Queensway,16,N/A,7.90,"25,051.00","12,255.00","12,795.00","24,900.00","20,845.00","14,060.00",935.00,"6,790.00","2,750.00","13,555.00","8,490.00","2,830.00","6,860.00","3,565.00","20,310.00","1,005.00",$996.00,"$100,867.00","$67,549.00","1,908.00","1,740.00","1,170.00","3,080.00",7.547169811,31.23,129.00,11.00,66.00,3.00,50.00,12.00,12.00,5.00,0.00,1.00,209.00,103.00,110.00,11.00,685.0
Mimico,17,N/A,6.90,"33,964.00","16,525.00","17,430.00","33,310.00","29,835.00","21,160.00","1,305.00","8,685.00","3,345.00","19,855.00","11,520.00","7,080.00","7,490.00","6,185.00","22,915.00","1,895.00","$1,009.00","$87,901.00","$55,300.00","1,786.00","2,720.00","1,814.00","4,390.00",13.84615385,21.59,879.00,24.00,206.00,17.00,47.00,8.00,33.00,14.00,1.00,1.00,374.00,168.00,129.00,26.00,1015.0
New Toronto,18,N/A,3.50,"11,463.00","5,560.00","5,750.00","11,290.00","9,680.00","6,460.00",565.00,"3,220.00","1,740.00","5,565.00","2,790.00","2,105.00","2,160.00","3,005.00","7,675.00",500.00,$777.00,"$70,398.00","$40,859.00","1,836.00","1,430.00","1,074.00","2,410.00",10.41666667,24.84,"1,010.00",16.00,82.00,13.00,41.00,15.00,11.00,6.00,1.00,0.00,160.00,33.00,51.00,24.00,460.0
Long Branch,19,N/A,2.30,"10,084.00","5,010.00","5,070.00","10,070.00","8,725.00","6,160.00",440.00,"2,565.00","1,455.00","5,060.00","2,585.00","1,700.00","2,270.00","2,245.00","7,760.00",375.00,$922.00,"$77,549.00","$47,680.00",357.00,940.00,654.00,"1,520.00",9.210526316,28.08,106.00,4.00,48.00,2.00,28.00,6.00,14.00,0.00,0.00,0.00,80.00,18.00,38.00,11.00,455.0
Alderwood,20,N/A,5.00,"12,054.00","5,885.00","6,165.00","12,025.00","18,580.00","6,825.00",415.00,"3,440.00","2,290.00","5,300.00","2,290.00","1,005.00","3,635.00","1,030.00","9,535.00",200.00,$984.00,"$83,584.00","$61,402.00",951.00,640.00,422.00,"1,090.00",12.61261261,11.41,77.00,4.00,31.00,1.00,26.00,8.00,18.00,8.00,0.00,1.00,106.00,54.00,42.00,4.00,280.0
Humber Summit,21,N/A,7.90,"12,416.00","6,035.00","6,385.00","12,405.00","10,250.00","5,755.00",555.00,"4,505.00","3,745.00","3,770.00","1,450.00","1,235.00","2,745.00","1,045.00","4,265.00",870.00,$907.00,"$65,757.00","$53,272.00","2,141.00","1,570.00","1,365.00","3,330.00",9.77443609,32.33,133.00,12.00,91.00,8.00,39.00,19.00,61.00,18.00,0.00,3.00,176.00,88.00,89.00,11.00,255.0
Humbermede,22,N/A,4.40,"15,545.00","7,475.00","8,070.00","15,535.00","12,580.00","7,640.00",780.00,"4,950.00","3,475.00","5,115.00","1,955.00","1,895.00","2,660.00","2,455.00","3,565.00","1,555.00",$966.00,"$59,697.00","$48,655.00",624.00,"1,860.00","2,081.00","4,030.00",15.07537688,20.52,223.00,19.00,94.00,9.00,23.00,22.00,44.00,1.00,1.00,0.00,140.00,90.00,103.00,12.00,405.0
Pelmo Park-Humberlea,23,N/A,4.20,"10,722.00","5,165.00","5,560.00","10,720.00","8,975.00","5,870.00",355.00,"3,100.00","1,835.00","4,130.00","1,595.00","1,165.00","2,525.00",450.00,"6,035.00",365.00,"$1,019.00","$76,800.00","$59,842.00",833.00,710.00,594.00,"1,430.00",14,21.71,359.00,32.00,50.00,3.00,24.00,10.00,24.00,4.00,1.00,0.00,112.00,161.00,61.00,4.00,170.0
Black Creek,24,N/A,3.40,"21,737.00","10,145.00","11,595.00","21,565.00","16,965.00","9,300.00","1,180.00","7,655.00","5,635.00","5,355.00","1,565.00","2,695.00","2,390.00","4,855.00","4,125.00","2,045.00",$846.00,"$52,499.00","$39,986.00",759.00,"3,680.00","4,656.00","7,940.00",19.25675676,41.84,"1,564.00",28.00,198.00,18.00,27.00,28.00,53.00,5.00,1.00,0.00,221.00,70.00,148.00,24.00,1000.0
Glenfield-Jane Heights,25,N/A,5.20,"30,491.00","14,250.00","16,245.00","30,210.00","24,425.00","13,440.00","1,550.00","10,985.00","9,295.00","7,655.00","2,110.00","3,285.00","4,950.00","5,055.00","7,065.00","1,875.00",$818.00,"$56,582.00","$44,488.00","1,714.00","4,420.00","5,046.00","9,610.00",20.80200501,41.05,"1,511.00",55.00,247.00,24.00,28.00,59.00,63.00,11.00,1.00,5.00,361.00,113.00,173.00,13.00,1065.0
Downsview-Roding-CFB,26,N/A,14.90,"35,052.00","16,835.00","18,225.00","35,010.00","29,265.00","18,045.00","1,420.00","11,210.00","9,055.00","12,305.00","4,485.00","4,385.00","6,145.00","7,125.00","14,945.00","3,145.00",$905.00,"$61,994.00","$44,087.00","4,334.00","4,060.00","3,584.00","7,750.00",15.53672316,23.72,571.00,54.00,311.00,26.00,53.00,49.00,88.00,10.00,1.00,6.00,528.00,323.00,247.00,40.00,1295.0
York University Heights,27,N/A,13.20,"27,593.00","13,650.00","13,940.00","27,570.00","23,520.00","14,815.00","1,585.00","8,705.00","5,490.00","11,420.00","5,555.00","4,080.00","4,650.00","5,660.00","8,430.00","2,850.00",$911.00,"$59,770.00","$42,916.00","11,541.00","4,490.00","3,444.00","7,950.00",24.11067194,47,511.00,59.00,288.00,27.00,96.00,57.00,106.00,33.00,2.00,3.00,773.00,175.00,142.00,33.00,820.0
Rustic,28,N/A,2.10,"9,941.00","4,450.00","5,485.00","9,755.00","7,820.00","4,100.00",375.00,"3,720.00","2,365.00","2,850.00",800.00,"1,205.00","1,495.00","2,160.00","3,945.00",510.00,$740.00,"$59,004.00","$41,187.00",163.00,"1,340.00","1,471.00","2,980.00",13.08411215,16.55,"1,292.00",10.00,46.00,5.00,15.00,6.00,8.00,3.00,0.00,0.00,104.00,63.00,51.00,5.00,320.0
Maple Leaf,29,N/A,2.50,"10,111.00","4,850.00","5,260.00","9,865.00","8,375.00","5,145.00",415.00,"3,220.00","2,550.00","3,590.00","1,580.00","1,005.00","1,990.00","1,565.00","5,565.00",950.00,$936.00,"$68,718.00","$52,174.00",142.00,880.00,552.00,"1,770.00",9,14.42,175.00,2.00,32.00,1.00,17.00,4.00,14.00,0.00,0.00,1.00,59.00,51.00,45.00,3.00,255.0
Brookhaven-Amesbury,30,N/A,3.50,"17,757.00","8,225.00","9,535.00","17,705.00","14,345.00","9,105.00",915.00,"5,240.00","3,825.00","5,925.00","1,920.00","2,615.00","2,660.00","3,730.00","6,075.00","1,475.00",$893.00,"$60,364.00","$43,512.00","1,177.00","2,320.00","2,355.00","4,780.00",13.61502347,43.1,849.00,15.00,91.00,9.00,31.00,25.00,29.00,3.00,0.00,1.00,169.00,32.00,101.00,40.00,655.0
Yorkdale-Glen Park,31,N/A,5.90,"14,804.00","6,865.00","7,945.00","14,030.00","12,060.00","7,245.00",580.00,"4,825.00","3,635.00","5,240.00","2,405.00","1,645.00","2,965.00","2,280.00","7,695.00",855.00,$916.00,"$70,539.00","$49,803.00","7,556.00","1,470.00","1,193.00","2,850.00",19.26605505,21.66,657.00,24.00,139.00,15.00,64.00,19.00,41.00,23.00,1.00,0.00,288.00,171.00,109.00,5.00,375.0
Englemount-Lawrence,32,N/A,3.60,"22,372.00","9,860.00","12,515.00","21,880.00","17,080.00","10,760.00",955.00,"6,330.00","2,365.00","10,080.00","5,880.00","3,005.00","3,445.00","4,690.00","13,030.00","2,050.00",$904.00,"$86,616.00","$45,087.00","1,331.00","2,470.00","1,712.00","5,360.00",24.64788732,43.98,"2,104.00",4.00,111.00,4.00,59.00,42.00,22.00,7.00,0.00,0.00,249.00,122.00,124.00,7.00,690.0
Clanton Park,33,N/A,4.20,"16,472.00","7,815.00","8,660.00","16,420.00","13,660.00","9,275.00",565.00,"4,380.00","1,865.00","8,670.00","5,290.00","2,235.00","2,925.00","2,610.00","10,115.00","1,345.00",$938.00,"$89,550.00","$54,498.00","1,155.00","1,410.00",483.00,"2,560.00",9.734513274,19.35,569.00,3.00,57.00,10.00,41.00,7.00,49.00,5.00,1.00,1.00,178.00,113.00,91.00,6.00,325.0
Bathurst Manor,34,N/A,4.80,"15,873.00","7,510.00","8,370.00","15,580.00","13,265.00","8,620.00",620.00,"4,640.00","2,450.00","8,200.00","4,980.00","2,175.00","3,230.00","2,790.00","10,165.00","1,490.00","$1,015.00","$76,914.00","$51,076.00",881.00,"1,440.00",758.00,"2,620.00",14.03508772,18.8,301.00,0.00,56.00,2.00,34.00,8.00,24.00,4.00,0.00,0.00,153.00,34.00,106.00,3.00,405.0
Westminster-Branson,35,N/A,3.70,"26,274.00","12,060.00","14,215.00","26,120.00","22,725.00","14,055.00","1,290.00","8,660.00","2,550.00","14,430.00","8,485.00","4,710.00","4,055.00","6,040.00","14,410.00","4,430.00","$1,095.00","$62,791.00","$42,465.00",652.00,"3,500.00","1,857.00","6,540.00",16.47727273,24.63,966.00,5.00,108.00,7.00,19.00,9.00,24.00,6.00,0.00,2.00,238.00,88.00,120.00,9.00,920.0
Newtonbrook West,36,N/A,4.70,"23,831.00","11,230.00","12,595.00","23,620.00","20,835.00","12,435.00","1,050.00","8,390.00","2,205.00","12,865.00","7,920.00","4,135.00","4,890.00","3,730.00","9,805.00","3,660.00","$1,135.00","$66,505.00","$46,815.00","2,038.00","3,480.00","1,338.00","6,690.00",15.15151515,26.14,380.00,7.00,120.00,8.00,55.00,14.00,47.00,7.00,0.00,1.00,202.00,82.00,89.00,3.00,455.0
Willowdale West,37,N/A,2.90,"16,936.00","7,990.00","8,945.00","16,670.00","14,860.00","8,610.00",845.00,"6,250.00","1,270.00","10,315.00","7,515.00","3,475.00","4,555.00","2,120.00","7,040.00","1,675.00","$1,117.00","$83,632.00","$54,226.00",687.00,"1,670.00",349.00,"3,050.00",9.302325581,17.67,664.00,6.00,73.00,6.00,35.00,14.00,12.00,2.00,0.00,1.00,179.00,51.00,67.00,1.00,390.0
Lansing-Westgate,38,N/A,5.40,"16,164.00","7,680.00","8,490.00","16,065.00","13,650.00","9,195.00",665.00,"4,450.00",895.00,"9,850.00","7,355.00","2,535.00","3,525.00","2,460.00","9,140.00","1,470.00","$1,332.00","$105,947.00","$60,980.00","1,410.00","7,560.00",296.00,"12,430.00",11.2,19.11,0.00,8.00,63.00,7.00,42.00,8.00,27.00,7.00,0.00,2.00,170.00,106.00,76.00,2.00,355.0
Bedford Park-Nortown,39,N/A,5.50,"23,236.00","10,845.00","12,390.00","23,115.00","18,560.00","11,835.00",650.00,"6,715.00","1,890.00","12,765.00","9,625.00","2,320.00","5,960.00","2,755.00","18,270.00","1,260.00","$1,124.00","$161,110.00","$76,160.00","1,809.00","1,340.00",304.00,"2,440.00",9.756097561,47.74,236.00,5.00,30.00,4.00,100.00,12.00,30.00,9.00,0.00,1.00,256.00,142.00,140.00,3.00,470.0
St.Andrew-Windfields,40,N/A,7.30,"17,812.00","8,525.00","9,290.00","17,675.00","15,045.00","9,255.00",770.00,"5,795.00","1,435.00","10,465.00","7,770.00","2,170.00","4,290.00","2,180.00","8,735.00","1,400.00","$1,270.00","$162,988.00","$80,145.00","1,694.00","1,590.00",469.00,"3,350.00",13.1147541,18.23,38.00,7.00,44.00,6.00,57.00,10.00,10.00,4.00,0.00,2.00,231.00,142.00,91.00,3.00,310.0
Bridle Path-Sunnybrook-York Mills,41,N/A,8.80,"9,266.00","4,460.00","4,810.00","9,185.00","7,750.00","4,515.00",360.00,"3,230.00",630.00,"5,635.00","4,795.00",740.00,"2,805.00",200.00,"6,415.00",330.00,"$2,388.00","$356,777.00","$161,448.00","4,065.00",460.00,28.00,810.00,17.39130435,22.26,43.00,7.00,18.00,5.00,51.00,1.00,12.00,3.00,0.00,0.00,264.00,38.00,68.00,0.00,100.0
Banbury-Don Mills,42,N/A,10.00,"27,695.00","12,825.00","14,875.00","26,995.00","23,395.00","14,015.00","1,010.00","9,370.00","2,300.00","15,950.00","10,850.00","4,045.00","7,035.00","4,735.00","14,290.00","1,500.00","$1,213.00","$115,239.00","$60,203.00","4,996.00","2,000.00",573.00,"3,790.00",8.974358974,21.31,304.00,13.00,68.00,7.00,55.00,12.00,6.00,9.00,0.00,1.00,288.00,144.00,118.00,4.00,480.0
Victoria Village,43,N/A,4.70,"17,510.00","8,110.00","9,405.00","17,185.00","14,550.00","8,620.00",870.00,"5,940.00","2,790.00","7,840.00","3,760.00","2,820.00","3,085.00","4,205.00","7,035.00","1,695.00",$867.00,"$65,104.00","$43,743.00","1,337.00","2,040.00","1,894.00","4,320.00",14.08450704,26.9,922.00,10.00,111.00,6.00,19.00,10.00,20.00,4.00,2.00,1.00,200.00,49.00,71.00,13.00,480.0
Flemingdon Park,44,N/A,2.50,"21,933.00","10,535.00","11,385.00","21,915.00","17,530.00","9,910.00","1,050.00","7,625.00","3,615.00","8,880.00","4,910.00","3,520.00","3,755.00","4,280.00","4,695.00","2,795.00",$932.00,"$55,824.00","$43,511.00",629.00,"3,290.00","3,477.00","7,800.00",22.83464567,21.66,748.00,8.00,123.00,5.00,14.00,19.00,5.00,3.00,0.00,0.00,188.00,83.00,68.00,19.00,835.0
Parkwoods-Donalda,45,N/A,7.50,"34,805.00","16,455.00","18,350.00","34,730.00","28,895.00","18,240.00","1,685.00","10,645.00","3,860.00","17,085.00","9,410.00","4,925.00","5,365.00","7,775.00","15,655.00","2,790.00","$1,114.00","$74,645.00","$52,550.00",859.00,"3,370.00","3,026.00","7,200.00",15.80645161,33.6,805.00,8.00,141.00,9.00,45.00,25.00,24.00,3.00,0.00,0.00,252.00,224.00,123.00,53.00,1150.0
