Neighbourhood,Neighbourhood Id,Combined Indicators,Total Area,Total Population,Pop - Males,Pop - Females,Visible Minority Category,Labour Force Category,   In Labour Force,   Unemployed,   Not in Labour Force,Less than grade 9,With College Certificate/Diploma,With Bachelor Degree or Higher,High Shelter Costs,Owned Dwellings,Rented Dwellings,   Not a Visible Minority,Recent Immigrants,Tenant Average Rent,Average Family Income,After-Tax Household Income,Part-Time Employment,Low Income Families,Social Assistance Recipients,Low Income Population,Early Development Instrument (EDI),Healthy Food Index,Social Housing Units,Drug Arrests,Assaults,Sexual Assaults,Break & Enters,Robberies,Vehicle Thefts,Thefts,Murders,Arsons,Fires & Fire Alarms,Fire Vehicle Incidents,Hazardous Incidents,Rent Bank Applicants,Home Repairs Needed
Pleasant View,46,N/A,3.00,"15,818.00","7,600.00","8,225.00","15,805.00","13,765.00","8,125.00",810.00,"5,640.00","2,580.00","7,910.00","4,625.00","1,805.00","4,215.00","1,310.00","5,660.00","1,320.00","$1,075.00","$71,782.00","$60,065.00",547.00,"1,730.00",595.00,"3,540.00",9.923664122,22.56,0.00,4.00,47.00,4.00,32.00,13.00,7.00,2.00,0.00,0.00,99.00,61.00,60.00,4.00,270.0
Don Valley Village,47,N/A,4.10,"27,051.00","12,880.00","14,160.00","26,825.00","22,750.00","13,880.00","1,330.00","8,885.00","2,665.00","15,035.00","9,675.00","4,065.00","5,010.00","4,735.00","7,795.00","3,785.00","$1,114.00","$69,884.00","$51,247.00","3,208.00","3,430.00","1,585.00","7,040.00",14.95726496,37.87,111.00,15.00,103.00,14.00,64.00,17.00,26.00,8.00,0.00,3.00,166.00,80.00,71.00,5.00,685.0
Hillcrest Village,48,N/A,5.30,"16,934.00","7,925.00","9,005.00","16,915.00","14,800.00","7,930.00",660.00,"6,870.00","1,985.00","9,545.00","6,445.00","2,260.00","5,060.00","1,485.00","4,130.00","1,125.00",$678.00,"$81,484.00","$57,682.00","2,793.00","2,180.00",555.00,"4,350.00",18.04511278,48.46,"1,027.00",3.00,34.00,12.00,33.00,9.00,20.00,1.00,0.00,2.00,183.00,93.00,52.00,0.00,390.0
Bayview Woods-Steeles,49,N/A,4.10,"13,154.00","6,025.00","7,125.00","12,655.00","11,150.00","6,205.00",495.00,"4,940.00","1,420.00","7,470.00","5,120.00","1,810.00","2,795.00","1,930.00","4,405.00","1,070.00","$1,459.00","$88,861.00","$61,716.00","1,068.00","1,420.00",450.00,"3,080.00",24.41860465,35.61,174.00,3.00,31.00,7.00,33.00,0.00,18.00,1.00,0.00,1.00,99.00,28.00,33.00,4.00,305.0
Newtonbrook East,50,N/A,4.10,"16,097.00","7,600.00","8,500.00","15,530.00","13,955.00","8,085.00",710.00,"5,875.00","1,620.00","9,460.00","6,745.00","2,945.00","4,210.00","2,015.00","4,320.00","1,855.00","$1,203.00","$84,163.00","$54,195.00","1,644.00","2,380.00",519.00,"4,600.00",12.87128713,29.12,0.00,14.00,70.00,4.00,41.00,7.00,5.00,6.00,1.00,0.00,122.00,34.00,67.00,2.00,245.0
Willowdale East,51,N/A,5.00,"50,434.00","23,680.00","26,740.00","50,255.00","44,325.00","27,075.00","2,300.00","17,275.00","2,675.00","32,650.00","25,095.00","11,140.00","13,515.00","6,120.00","12,545.00","7,405.00","$1,453.00","$80,607.00","$55,154.00","2,784.00","6,260.00",833.00,"13,330.00",12,28.9,496.00,15.00,118.00,16.00,80.00,22.00,44.00,12.00,0.00,2.00,469.00,130.00,126.00,7.00,645.0
Bayview Village,52,N/A,5.20,"21,396.00","10,030.00","11,360.00","21,140.00","18,735.00","11,885.00",910.00,"6,845.00","1,260.00","13,740.00","9,790.00","4,320.00","4,805.00","2,565.00","6,635.00","2,520.00","$1,441.00","$92,800.00","$58,028.00","4,173.00","2,090.00",375.00,"4,250.00",13.44537815,32.12,131.00,8.00,67.00,9.00,33.00,8.00,13.00,5.00,0.00,0.00,201.00,106.00,72.00,2.00,345.0
Henry Farm,53,N/A,2.60,"15,723.00","7,685.00","8,045.00","15,715.00","13,205.00","8,605.00",890.00,"4,600.00",920.00,"9,230.00","6,370.00","3,085.00","1,450.00","2,650.00","3,680.00","2,935.00","$1,156.00","$65,901.00","$47,659.00","3,148.00","2,060.00",975.00,"4,220.00",8.695652174,20.8,232.00,5.00,58.00,11.00,12.00,8.00,9.00,1.00,0.00,0.00,200.00,161.00,38.00,5.00,390.0
O'Connor-Parkview,54,N/A,4.90,"18,675.00","9,015.00","9,660.00","18,500.00","15,395.00","9,580.00",970.00,"5,820.00","2,950.00","8,250.00","3,970.00","2,830.00","3,600.00","3,805.00","11,520.00","1,245.00",$865.00,"$73,050.00","$48,969.00",998.00,"2,000.00","2,377.00","3,910.00",9.756097561,37.63,528.00,12.00,118.00,11.00,34.00,20.00,7.00,6.00,0.00,2.00,173.00,61.00,62.00,24.00,815.0
Thorncliffe Park,55,N/A,3.10,"21,108.00","10,305.00","10,810.00","20,845.00","15,250.00","8,490.00","1,070.00","6,760.00","2,590.00","8,035.00","5,075.00","3,570.00",610.00,"6,105.00","4,345.00","3,880.00","$1,055.00","$49,530.00","$38,645.00","3,016.00","3,030.00","3,996.00","8,700.00",14.24332344,34.53,567.00,20.00,71.00,3.00,24.00,12.00,4.00,11.00,0.00,3.00,259.00,28.00,125.00,15.00,885.0
Leaside-Bennington,56,N/A,4.80,"16,828.00","8,020.00","8,810.00","16,635.00","13,360.00","9,145.00",635.00,"4,215.00","1,130.00","9,880.00","7,665.00","1,415.00","4,780.00","1,770.00","13,710.00",355.00,"$1,158.00","$158,847.00","$85,039.00","1,301.00",590.00,171.00,930.00,13.29787234,40.94,0.00,6.00,19.00,2.00,33.00,7.00,4.00,2.00,0.00,11.00,116.00,64.00,66.00,2.00,365.0
Broadview North,57,N/A,1.70,"11,499.00","5,460.00","6,040.00","11,330.00","9,885.00","6,575.00",540.00,"3,300.00","1,845.00","5,920.00","3,510.00","2,275.00","1,915.00","3,695.00","8,200.00",680.00,$940.00,"$67,940.00","$41,036.00",646.00,"1,250.00",860.00,"2,150.00",22.22222222,31.36,154.00,8.00,45.00,6.00,16.00,9.00,8.00,2.00,0.00,0.00,124.00,77.00,63.00,11.00,635.0
Old East York,58,N/A,2.30,"9,233.00","4,545.00","4,680.00","9,210.00","7,745.00","5,115.00",255.00,"2,625.00","1,255.00","4,470.00","2,435.00","1,100.00","2,670.00","1,185.00","6,750.00",320.00,$959.00,"$90,478.00","$61,174.00",341.00,630.00,354.00,"1,120.00",9.473684211,24.76,182.00,2.00,31.00,1.00,25.00,4.00,6.00,2.00,1.00,3.00,80.00,89.00,37.00,6.00,295.0
Danforth-East York,59,N/A,2.20,"17,180.00","8,245.00","8,920.00","17,080.00","14,055.00","9,420.00",650.00,"4,640.00","2,705.00","8,510.00","5,255.00","1,900.00","5,005.00","1,945.00","11,985.00",410.00,$923.00,"$83,989.00","$63,221.00","1,599.00","1,250.00",752.00,"2,340.00",11.5942029,24.56,423.00,9.00,39.00,3.00,41.00,6.00,11.00,4.00,0.00,0.00,103.00,30.00,74.00,7.00,635.0
Woodbine-Lumsden,60,N/A,1.20,"7,865.00","3,825.00","4,045.00","7,850.00","6,685.00","4,695.00",310.00,"2,000.00","1,110.00","3,920.00","2,245.00","1,100.00","2,380.00","1,095.00","5,415.00",130.00,$823.00,"$74,945.00","$56,681.00",165.00,660.00,431.00,"1,100.00",4.918032787,27.87,203.00,9.00,30.00,6.00,14.00,3.00,3.00,5.00,0.00,0.00,48.00,6.00,39.00,3.00,420.0
Taylor-Massey,61,N/A,1.10,"15,683.00","7,710.00","7,975.00","15,485.00","12,535.00","7,935.00",910.00,"4,595.00","2,145.00","7,440.00","4,535.00","2,770.00","2,260.00","4,035.00","5,125.00","2,500.00",$882.00,"$51,131.00","$37,875.00",715.00,"2,350.00","1,948.00","5,180.00",16.91542289,38.19,381.00,9.00,88.00,7.00,42.00,16.00,8.00,5.00,1.00,2.00,167.00,29.00,44.00,15.00,760.0
East End-Danforth,62,N/A,2.60,"21,381.00","10,260.00","11,115.00","21,010.00","17,290.00","12,120.00",990.00,"5,170.00","2,660.00","11,085.00","6,860.00","2,870.00","4,930.00","4,185.00","14,535.00","1,005.00",$831.00,"$90,812.00","$56,179.00","1,576.00","2,030.00","1,342.00","3,520.00",13.57466063,35.29,"1,016.00",10.00,144.00,15.00,79.00,31.00,21.00,12.00,0.00,2.00,238.00,43.00,105.00,13.00,690.0
The Beaches,63,N/A,3.60,"21,567.00","10,235.00","11,325.00","21,445.00","17,615.00","12,710.00",725.00,"4,920.00","1,445.00","12,750.00","9,235.00","2,710.00","6,240.00","3,140.00","18,465.00",395.00,"$1,154.00","$139,757.00","$70,957.00","1,868.00","1,150.00",464.00,"1,760.00",7.851239669,31.53,151.00,24.00,73.00,9.00,76.00,13.00,8.00,4.00,0.00,0.00,274.00,55.00,130.00,7.00,770.0
Woodbine Corridor,64,N/A,1.60,"12,541.00","6,055.00","6,485.00","12,435.00","10,110.00","7,270.00",560.00,"2,835.00","1,405.00","6,620.00","4,220.00","1,560.00","3,250.00","1,965.00","9,050.00",265.00,$782.00,"$90,338.00","$63,343.00",455.00,"1,060.00",613.00,"1,770.00",10.25641026,29.04,950.00,8.00,65.00,7.00,51.00,6.00,9.00,6.00,0.00,1.00,96.00,43.00,44.00,6.00,520.0
Greenwood-Coxwell,65,N/A,1.70,"14,417.00","7,010.00","7,415.00","14,380.00","11,925.00","8,245.00",595.00,"3,670.00","2,565.00","7,255.00","4,590.00","1,970.00","3,715.00","2,285.00","8,755.00",335.00,$829.00,"$76,085.00","$52,770.00",688.00,"1,610.00","1,174.00","2,920.00",5.882352941,44.29,830.00,14.00,74.00,11.00,62.00,10.00,14.00,7.00,0.00,1.00,132.00,39.00,77.00,9.00,645.0
Danforth,66,N/A,1.10,"9,666.00","4,790.00","4,875.00","9,595.00","7,945.00","5,445.00",340.00,"2,510.00","1,630.00","4,840.00","3,295.00","1,190.00","2,490.00","1,410.00","7,110.00",235.00,$828.00,"$88,629.00","$62,482.00",662.00,840.00,358.00,"1,400.00",7.142857143,32.16,356.00,20.00,59.00,9.00,40.00,14.00,5.00,3.00,1.00,0.00,107.00,32.00,60.00,3.00,340.0
Playter Estates-Danforth,67,N/A,0.90,"7,804.00","3,860.00","3,945.00","7,640.00","6,490.00","4,680.00",300.00,"1,815.00",720.00,"4,660.00","3,380.00","1,335.00","1,665.00","1,865.00","6,085.00",235.00,"$1,075.00","$112,244.00","$55,536.00",915.00,570.00,182.00,870.00,3.076923077,42.51,194.00,6.00,56.00,4.00,24.00,10.00,6.00,3.00,0.00,0.00,71.00,32.00,29.00,3.00,275.0
North Riverdale,68,N/A,1.80,"11,916.00","5,815.00","6,095.00","11,680.00","9,740.00","7,160.00",380.00,"2,575.00","1,250.00","6,845.00","5,185.00","1,305.00","2,945.00","2,200.00","8,875.00",190.00,"$1,057.00","$114,599.00","$68,164.00","1,696.00",870.00,304.00,"1,380.00",12.90322581,47.17,98.00,6.00,45.00,9.00,41.00,23.00,6.00,4.00,1.00,1.00,125.00,58.00,67.00,5.00,350.0
Blake-Jones,69,N/A,0.90,"7,727.00","3,745.00","3,980.00","7,685.00","6,280.00","4,080.00",345.00,"2,200.00","1,495.00","3,760.00","2,435.00",970.00,"1,760.00","1,480.00","4,725.00",210.00,$778.00,"$76,633.00","$51,381.00",337.00,990.00,779.00,"2,040.00",17.97752809,39.98,751.00,12.00,61.00,10.00,23.00,13.00,5.00,0.00,1.00,1.00,102.00,15.00,57.00,5.00,290.0
South Riverdale,70,N/A,9.60,"27,876.00","13,920.00","13,950.00","27,045.00","23,155.00","16,535.00","1,070.00","6,600.00","4,325.00","14,280.00","9,420.00","3,745.00","6,635.00","4,105.00","15,815.00",800.00,$859.00,"$83,795.00","$56,192.00","3,865.00","3,060.00","1,590.00","5,440.00",7.56302521,45.86,"1,479.00",44.00,189.00,25.00,145.00,31.00,28.00,20.00,3.00,2.00,384.00,175.00,176.00,14.00,930.0
Cabbagetown-South St.James Town,71,N/A,1.40,"11,669.00","6,565.00","5,105.00","10,990.00","10,200.00","7,275.00",585.00,"2,925.00",880.00,"7,370.00","5,105.00","2,500.00","2,940.00","3,690.00","7,815.00",365.00,$976.00,"$103,558.00","$50,873.00",999.00,"1,390.00",680.00,"1,880.00",13.33333333,43.71,860.00,28.00,96.00,11.00,53.00,16.00,9.00,6.00,0.00,5.00,333.00,39.00,104.00,16.00,685.0
Regent Park,72,N/A,0.60,"10,803.00","5,535.00","5,275.00","10,675.00","9,045.00","5,660.00",545.00,"3,375.00","1,465.00","4,835.00","3,085.00","1,950.00",715.00,"3,135.00","3,205.00",560.00,$631.00,"$51,758.00","$30,794.00",639.00,"2,360.00","1,572.00","5,150.00",10.84337349,42.52,"2,120.00",12.00,78.00,4.00,25.00,14.00,3.00,2.00,0.00,1.00,232.00,21.00,97.00,6.00,480.0
Moss Park,73,N/A,1.40,"20,506.00","11,645.00","8,855.00","18,460.00","17,025.00","12,325.00",845.00,"4,700.00","1,625.00","11,940.00","8,465.00","4,615.00","3,335.00","5,695.00","10,595.00",945.00,$795.00,"$87,222.00","$37,295.00","4,090.00","3,540.00","2,800.00","5,120.00",19.17808219,42.76,"3,399.00",174.00,383.00,39.00,129.00,112.00,16.00,12.00,3.00,5.00,887.00,105.00,184.00,5.00,895.0
North St.James Town,74,N/A,0.40,"18,615.00","9,880.00","8,735.00","18,355.00","16,075.00","10,845.00","1,125.00","5,225.00","1,920.00","10,230.00","6,305.00","4,195.00",615.00,"8,590.00","6,075.00","2,525.00",$879.00,"$49,005.00","$31,304.00","1,263.00","3,450.00","1,930.00","5,860.00",16.15384615,34.03,"1,704.00",28.00,105.00,12.00,52.00,19.00,16.00,9.00,0.00,2.00,232.00,25.00,97.00,15.00,920.0
Church-Yonge Corridor,75,N/A,1.40,"31,340.00","17,125.00","14,210.00","30,305.00","29,095.00","21,855.00","1,865.00","7,240.00","1,520.00","22,355.00","16,930.00","8,890.00","5,330.00","12,900.00","17,880.00","1,970.00","$1,134.00","$77,996.00","$41,813.00","11,048.00","3,860.00","2,427.00","5,160.00",11.32075472,33.5,"3,324.00",135.00,466.00,70.00,147.00,108.00,23.00,40.00,3.00,5.00,"1,103.00",155.00,180.00,14.00,1060.0
Bay Street Corridor,76,N/A,1.80,"25,797.00","12,190.00","13,595.00","25,605.00","23,940.00","15,000.00","1,535.00","8,950.00",695.00,"17,505.00","15,090.00","8,520.00","3,775.00","7,625.00","9,675.00","2,275.00","$1,467.00","$90,324.00","$44,614.00","27,819.00","10,050.00",365.00,"12,820.00",19.44444444,24.83,754.00,132.00,579.00,88.00,118.00,100.00,25.00,41.00,1.00,3.00,"1,428.00",268.00,189.00,5.00,395.0
Waterfront Communities-The Island,77,N/A,7.60,"65,913.00","33,295.00","32,635.00","65,620.00","61,995.00","51,100.00","2,640.00","10,885.00","1,630.00","51,740.00","41,735.00","16,500.00","13,350.00","13,640.00","36,715.00","4,730.00","$1,417.00","$95,004.00","$57,670.00","21,274.00","4,480.00","1,974.00","6,990.00",17.81609195,31.61,"2,644.00",140.00,712.00,68.00,213.00,63.00,40.00,56.00,0.00,5.00,"1,422.00",337.00,347.00,21.00,895.0
Kensington-Chinatown,78,N/A,1.50,"17,945.00","8,760.00","9,185.00","17,455.00","16,145.00","10,105.00",825.00,"6,045.00","3,405.00","9,095.00","6,395.00","4,190.00","2,655.00","5,975.00","6,940.00",840.00,"$1,004.00","$64,945.00","$37,571.00","8,166.00","3,690.00","1,680.00","6,070.00",25.92592593,37.57,"2,064.00",105.00,273.00,34.00,80.00,53.00,26.00,16.00,5.00,5.00,459.00,98.00,124.00,4.00,850.0
University,79,N/A,1.40,"7,607.00","3,785.00","3,815.00","6,675.00","6,165.00","4,405.00",365.00,"1,760.00",650.00,"4,460.00","3,515.00","1,580.00","1,335.00","1,960.00","4,470.00",315.00,"$1,246.00","$92,815.00","$45,538.00","2,439.00","1,180.00",243.00,"1,530.00",20,42.62,326.00,35.00,111.00,20.00,47.00,21.00,13.00,5.00,0.00,1.00,232.00,46.00,61.00,2.00,295.0
Palmerston-Little Italy,80,N/A,1.40,"13,826.00","6,680.00","7,155.00","13,760.00","12,500.00","9,275.00",630.00,"3,220.00","1,975.00","8,280.00","6,210.00","2,380.00","2,650.00","3,590.00","10,810.00",325.00,"$1,181.00","$94,190.00","$52,309.00","1,443.00","1,280.00",417.00,"1,810.00",10.98901099,45.81,169.00,9.00,67.00,13.00,39.00,27.00,12.00,6.00,0.00,0.00,144.00,60.00,86.00,2.00,685.0
Trinity-Bellwoods,81,N/A,1.70,"16,556.00","8,185.00","8,370.00","16,230.00","14,490.00","10,055.00",610.00,"4,440.00","4,200.00","8,090.00","5,745.00","2,485.00","3,905.00","2,940.00","11,410.00",460.00,"$1,130.00","$77,477.00","$51,502.00","1,951.00","1,990.00",708.00,"3,220.00",10,35.45,250.00,54.00,133.00,10.00,49.00,20.00,25.00,2.00,1.00,2.00,223.00,94.00,110.00,1.00,520.0
Niagara,82,N/A,3.10,"31,180.00","15,410.00","15,765.00","30,440.00","28,390.00","24,595.00","1,110.00","3,795.00","1,165.00","23,305.00","17,025.00","7,210.00","7,795.00","4,840.00","19,765.00","1,405.00","$1,296.00","$88,996.00","$59,929.00","4,758.00","1,730.00",905.00,"2,580.00",13.58024691,34.94,939.00,55.00,206.00,27.00,68.00,16.00,22.00,18.00,1.00,1.00,480.00,131.00,119.00,14.00,375.0
Dufferin Grove,83,N/A,1.40,"11,785.00","5,820.00","5,955.00","11,710.00","10,430.00","7,555.00",565.00,"2,870.00","2,005.00","6,150.00","3,965.00","2,165.00","2,005.00","3,100.00","8,080.00",480.00,"$1,021.00","$66,895.00","$44,145.00","1,685.00","1,310.00",919.00,"2,140.00",18.51851852,40.07,166.00,20.00,84.00,7.00,27.00,15.00,8.00,3.00,1.00,1.00,121.00,31.00,62.00,6.00,500.0
Little Portugal,84,N/A,1.20,"15,559.00","7,640.00","7,920.00","15,055.00","13,650.00","10,650.00",685.00,"3,005.00","3,040.00","8,490.00","5,840.00","3,130.00","2,475.00","2,825.00","10,790.00",500.00,$997.00,"$74,372.00","$52,519.00","1,127.00","1,300.00",631.00,"2,030.00",10.86956522,37.58,529.00,18.00,96.00,12.00,39.00,8.00,13.00,3.00,1.00,2.00,201.00,57.00,86.00,7.00,480.0
South Parkdale,85,N/A,2.30,"21,849.00","10,950.00","10,895.00","20,655.00","18,590.00","13,135.00","1,125.00","5,455.00","3,435.00","11,020.00","5,900.00","5,600.00","1,105.00","9,485.00","10,730.00","1,695.00",$865.00,"$54,454.00","$32,539.00","1,520.00","3,640.00","2,747.00","5,660.00",17.5257732,26.84,"1,600.00",30.00,204.00,10.00,67.00,33.00,22.00,9.00,1.00,1.00,431.00,199.00,132.00,30.00,1245.0
Roncesvalles,86,N/A,1.50,"14,974.00","7,445.00","7,535.00","14,870.00","12,575.00","9,020.00",600.00,"3,550.00","2,310.00","8,060.00","5,490.00","2,595.00","3,155.00","3,660.00","11,080.00",510.00,$939.00,"$86,526.00","$46,883.00","1,301.00","1,680.00","1,371.00","2,640.00",6.040268456,44.85,511.00,28.00,95.00,11.00,38.00,25.00,12.00,3.00,0.00,5.00,247.00,40.00,88.00,4.00,830.0
High Park-Swansea,87,N/A,5.30,"23,925.00","11,170.00","12,765.00","23,355.00","19,815.00","14,525.00",865.00,"5,290.00","1,540.00","14,845.00","10,665.00","3,260.00","5,975.00","3,875.00","18,885.00",505.00,"$1,053.00","$116,465.00","$62,128.00","2,658.00","1,350.00",672.00,"2,290.00",5.911330049,46.53,300.00,20.00,85.00,11.00,32.00,20.00,11.00,5.00,0.00,3.00,262.00,85.00,121.00,7.00,725.0
High Park North,88,N/A,1.90,"22,162.00","10,410.00","11,745.00","21,815.00","18,985.00","13,715.00",970.00,"5,265.00","1,600.00","14,210.00","10,125.00","4,045.00","3,605.00","7,000.00","16,640.00","1,240.00","$1,134.00","$89,737.00","$52,827.00",892.00,"1,810.00",743.00,"2,940.00",7.103825137,40.24,788.00,8.00,74.00,12.00,27.00,20.00,8.00,1.00,0.00,0.00,161.00,33.00,87.00,6.00,795.0
Runnymede-Bloor West Village,89,N/A,1.60,"10,070.00","4,785.00","5,280.00","10,070.00","8,020.00","5,825.00",295.00,"2,200.00",930.00,"5,665.00","4,165.00",805.00,"2,945.00",865.00,"8,465.00",170.00,"$1,083.00","$114,798.00","$74,729.00",924.00,410.00,141.00,720.00,4.385964912,45.64,4.00,7.00,30.00,2.00,22.00,11.00,9.00,1.00,0.00,0.00,55.00,11.00,36.00,1.00,240.0
Junction Area,90,N/A,2.60,"14,366.00","7,020.00","7,350.00","14,085.00","12,000.00","8,890.00",500.00,"3,110.00","1,905.00","7,790.00","5,110.00","1,960.00","3,395.00","2,355.00","9,925.00",345.00,"$1,025.00","$78,000.00","$53,804.00","2,420.00","1,350.00",673.00,"2,190.00",7.627118644,44.09,84.00,14.00,95.00,10.00,31.00,13.00,22.00,3.00,0.00,2.00,181.00,57.00,88.00,5.00,320.0
Weston-Pellam Park,91,N/A,1.50,"11,098.00","5,585.00","5,520.00","11,085.00","9,420.00","5,965.00",505.00,"3,455.00","3,725.00","3,730.00","1,610.00","1,300.00","2,590.00","1,810.00","6,885.00",370.00,$719.00,"$66,933.00","$48,206.00",457.00,"1,530.00","1,221.00","2,810.00",20.49180328,52.57,734.00,29.00,67.00,7.00,15.00,11.00,17.00,7.00,1.00,2.00,132.00,27.00,73.00,8.00,395.0
Corso Italia-Davenport,92,N/A,1.90,"14,133.00","6,965.00","7,170.00","14,100.00","12,200.00","8,310.00",600.00,"3,890.00","3,595.00","5,925.00","3,285.00","1,765.00","3,265.00","1,835.00","10,570.00",560.00,$945.00,"$74,367.00","$56,345.00",584.00,"1,210.00",671.00,"2,120.00",14.7826087,37.94,59.00,19.00,57.00,8.00,15.00,25.00,7.00,2.00,0.00,1.00,102.00,49.00,61.00,1.00,400.0
